trade_date,close,open,high,low,vol,pct_chg
20141023,3629.39,3703.95,3711.79,3621.93,7.57K,-2.0
20141024,3617.51,3623.59,3643.28,3604.27,4.95K,-0.33
20141027,3595.16,3609.08,3610.37,3585.8,5.44K,-0.62
20141028,3700.95,3607.76,3701.14,3607.76,7.96K,2.94
20141029,3766.65,3709.7,3772.15,3681.96,11.48K,1.78
20141030,3752.63,3768.29,3771.51,3733.54,9.58K,-0.37
20141031,3805.15,3756.53,3806.02,3756.53,11.46K,1.4
20141008,3846.05,3835.41,3848.24,3802.39,13.31K,2.36
20141009,3852.86,3850.6,3861.93,3808.59,14.23K,0.18
20141110,3836.72,3799.34,3837.9,3778.42,9.03K,1.29
20141111,3767.39,3850.71,3860.39,3739.16,13.85K,-1.81
20141112,3828.62,3751.87,3828.62,3742.31,8.28K,1.63
20141113,3790.16,3824.13,3835.14,3764.82,8.98K,-1.0
20141114,3824.63,3779.44,3830.67,3772.79,8.98K,0.91
20141117,3821.61,3822.86,3850.51,3806.21,8.11K,-0.08
20141118,3805.5,3817.72,3828.95,3789.17,7.71K,-0.42
20141119,3804.69,3800.22,3818.45,3791.3,6.81K,-0.02
20141120,3792.06,3790.82,3808.03,3782.15,6.06K,-0.33
20141121,3837.91,3792.83,3838.12,3785.7,7.86K,1.21
20141124,4038.4,3988.84,4075.1,3968.79,27.39K,5.22
20141125,4073.66,4064.09,4074.52,4037.63,16.29K,0.87
20141126,4094.8,4068.81,4094.8,4039.8,14.71K,0.52
20141127,4118.52,4098.46,4143.48,4068.99,17.93K,0.58
20141128,4278.89,4111.71,4283.28,4090.5,26.45K,3.89
20141103,3822.72,3820.77,3841.48,3804.86,11.02K,0.46
20141104,3829.33,3818.66,3841.92,3803.55,10.81K,0.17
20141105,3808.78,3827.8,3828.72,3802.07,8.17K,-0.54
20141106,3815.83,3808.93,3835.74,3783.88,8.22K,0.19
20141107,3787.74,3810.47,3858.37,3768.58,10.17K,-0.74
20141201,4238.22,4289.05,4320.56,4227.53,19.23K,-0.95
20141210,4609.74,4419.07,4612.01,4385.1,18.01K,4.37
20141211,4690.77,4583.16,4749.69,4555.29,18.68K,1.76
20141212,4681.31,4695.31,4727.77,4630.27,15.57K,-0.2
20141215,4649.54,4687.11,4687.11,4579.6,16.80K,-0.68
20141216,4712.86,4637.16,4712.86,4592.47,17.20K,1.36
20141217,4798.48,4709.61,4798.48,4673.91,22.37K,1.82
20141218,4728.52,4818.24,4861.04,4715.49,15.42K,-1.46
20141219,4654.73,4730.07,4730.07,4557.11,14.78K,-1.56
20141202,4311.54,4218.07,4336.89,4199.61,17.42K,1.73
20141222,4531.6,4627.94,4678.45,4486.72,16.72K,-2.65
20141223,4493.44,4484.29,4648.83,4432.23,13.62K,-0.84
20141224,4409.95,4487.71,4499.14,4358.2,12.26K,-1.86
20141225,4491.33,4419.38,4491.33,4402.56,10.73K,1.85
20141226,4635.92,4503.5,4635.92,4496.58,15.95K,3.22
